#Cancer_type	Sample	Sig	96c	80c	80c_ajusted	LR(80c_adj/96c)
Biliary-AdenoCA	SP117655	SBS1	1471.0	1271.0	1304.0	-0.05229729832718028
Biliary-AdenoCA	SP117655	SBS2	1359.0	1291.0	1292.0	-0.0219403834898235
Biliary-AdenoCA	SP117655	SBS5	2670.0	4119.0	5928.0	0.34630756232359095
Biliary-AdenoCA	SP117655	SBS13	745.0	759.0	763.0	0.010354531103021133
Biliary-AdenoCA	SP117655	SBS40	8661.0	5578.0	6667.0	-0.11362258823785579
Biliary-AdenoCA	SP117556	SBS1	852.0	947.0	972.0	0.05716380910082886
Biliary-AdenoCA	SP117556	SBS5	4112.0	1249.0	1798.0	-0.35912754616362375
Biliary-AdenoCA	SP117556	SBS40	123.0	2110.0	2522.0	1.3084955653553396
Biliary-AdenoCA	SP117627	SBS1	1153.0	1027.0	1054.0	-0.03895334918600118
Biliary-AdenoCA	SP117627	SBS2	567.0	534.0	535.0	-0.02518354601824887
Biliary-AdenoCA	SP117627	SBS5	1692.0	2275.0	3274.0	0.2865543462188666
Biliary-AdenoCA	SP117627	SBS13	47.0	53.0	53.0	0.05115252244738129
Biliary-AdenoCA	SP117627	SBS40	2465.0	1274.0	1523.0	-0.20900810525613114
Biliary-AdenoCA	SP117775	SBS1	1836.0	1704.0	1749.0	-0.021071107619513904
Biliary-AdenoCA	SP117775	SBS2	1345.0	1313.0	1314.0	-0.01011930706218138
Biliary-AdenoCA	SP117775	SBS5	2682.0	2888.0	4156.0	0.19015935183427574
Biliary-AdenoCA	SP117775	SBS13	1217.0	1222.0	1228.0	0.0039045945895975543
Biliary-AdenoCA	SP117775	SBS40	5333.0	3706.0	4429.0	-0.08064928513078776
Biliary-AdenoCA	SP117332	SBS1	441.0	418.0	429.0	-0.011953813769505373
Biliary-AdenoCA	SP117332	SBS2	466.0	457.0	458.0	-0.007504195028850931
Biliary-AdenoCA	SP117332	SBS5	968.0	835.0	1202.0	0.09394185028907938
Biliary-AdenoCA	SP117332	SBS13	479.0	474.0	476.0	-0.0027228583354732883
Biliary-AdenoCA	SP117332	SBS40	1103.0	833.0	996.0	-0.044273915081524395
Biliary-AdenoCA	SP117712	SBS1	106.0	179.0	184.0	0.23778795071780418
Biliary-AdenoCA	SP117712	SBS5	7002.0	3071.0	4420.0	-0.19976361144211752
Biliary-AdenoCA	SP117712	SBS12	1627.0	2319.0	15257.0	0.9718432100061701
Biliary-AdenoCA	SP117712	SBS24	2571.0	2326.0	2447.0	-0.02145955077866088
Biliary-AdenoCA	SP117017	SBS1	582.0	550.0	564.0	-0.013620106939575551
Biliary-AdenoCA	SP117017	SBS5	3761.0	3054.0	4395.0	0.06763889253709285
Biliary-AdenoCA	SP117017	SBS32	2218.0	1898.0	2001.0	-0.044693229088708465
Biliary-AdenoCA	SP117031	SBS1	1966.0	1879.0	1928.0	-0.008472132275452222
Biliary-AdenoCA	SP117031	SBS2	569.0	556.0	557.0	-0.009240656734912629
Biliary-AdenoCA	SP117031	SBS5	919.0	1044.0	1502.0	0.21317115324135288
Biliary-AdenoCA	SP117031	SBS13	403.0	401.0	403.0	0.0
Biliary-AdenoCA	SP117031	SBS40	6116.0	4842.0	5787.0	-0.024009958050802558
Biliary-AdenoCA	SP117759	SBS1	2228.0	2226.0	2284.0	0.010776135925631288
Biliary-AdenoCA	SP117759	SBS2	1352.0	1256.0	1257.0	-0.03161715548837284
Biliary-AdenoCA	SP117759	SBS5	6118.0	3753.0	5401.0	-0.054125873345216687
Biliary-AdenoCA	SP117759	SBS13	497.0	407.0	409.0	-0.08444548603998203
Biliary-AdenoCA	SP117759	SBS18	3038.0	2211.0	2308.0	-0.11930676716276653
Biliary-AdenoCA	SP117759	SBS40	80.0	1823.0	2179.0	1.429971474725955
Biliary-AdenoCA	SP117621	SBS1	2287.0	2172.0	2229.0	-0.0111511570728259
Biliary-AdenoCA	SP117621	SBS2	1672.0	1653.0	1655.0	-0.004435608513533198
Biliary-AdenoCA	SP117621	SBS5	2583.0	2436.0	3506.0	0.13264325655845607
Biliary-AdenoCA	SP117621	SBS13	1162.0	1164.0	1170.0	0.0029771803439146986
Biliary-AdenoCA	SP117621	SBS40	5172.0	3833.0	4581.0	-0.05268739355570385
Biliary-AdenoCA	SP117425	SBS1	1001.0	916.0	940.0	-0.027278098103970028
Biliary-AdenoCA	SP117425	SBS2	3627.0	3594.0	3598.0	-0.0034854317351464396
Biliary-AdenoCA	SP117425	SBS5	1331.0	1755.0	2526.0	0.27810101708563245
Biliary-AdenoCA	SP117425	SBS13	2736.0	2732.0	2746.0	0.0015838620104382767
Biliary-AdenoCA	SP117425	SBS40	5117.0	3635.0	4345.0	-0.07101055956666094
Biliary-AdenoCA	SP117930	SBS1	1294.0	1299.0	1333.0	0.01288606116325956
Biliary-AdenoCA	SP117930	SBS2	393.0	412.0	412.0	0.020453829830826935
Biliary-AdenoCA	SP117930	SBS5	4711.0	2693.0	3876.0	-0.0847094807718352
Biliary-AdenoCA	SP117930	SBS13	187.0	188.0	189.0	0.004595751689149137
Biliary-AdenoCA	SP117930	SBS18	2004.0	1903.0	1987.0	-0.0036979968949065966
Biliary-AdenoCA	SP117930	SBS40	4255.0	3929.0	4696.0	0.04281894089625716
Biliary-AdenoCA	SP99287	SBS1	146.0	120.0	123.0	-0.073895649585941
Biliary-AdenoCA	SP99287	SBS5	2379.0	2009.0	2891.0	0.08462133156598123
Biliary-AdenoCA	SP99287	SBS18	310.0	428.0	447.0	0.1585176249713065
Biliary-AdenoCA	SP99287	SBS40	664.0	7.0	8.0	-1.8685791358637798
Biliary-AdenoCA	SP99293	SBS1	258.0	272.0	279.0	0.03385826726096742
Biliary-AdenoCA	SP99293	SBS2	380.0	371.0	371.0	-0.010382035793721775
Biliary-AdenoCA	SP99293	SBS5	2402.0	1306.0	1880.0	-0.1063649752535212
Biliary-AdenoCA	SP99293	SBS12	1395.0	1203.0	7914.0	0.7535655009112324
Biliary-AdenoCA	SP99293	SBS13	216.0	235.0	236.0	0.03828861216157437
Biliary-AdenoCA	SP99293	SBS40	4037.0	2761.0	3300.0	-0.08752079027730895
Biliary-AdenoCA	SP99289	SBS1	48.0	274.0	281.0	0.7600530282908474
Biliary-AdenoCA	SP99289	SBS5	11652.0	2532.0	3644.0	-0.5047402137999989
Biliary-AdenoCA	SP99289	SBS12	4623.0	3482.0	22908.0	0.6949883068166258
Biliary-AdenoCA	SP99289	SBS40	99.0	3254.0	3889.0	1.5899496013257077
Biliary-AdenoCA	SP99297	SBS1	56.0	55.0	56.0	0.0
Biliary-AdenoCA	SP99297	SBS2	55.0	56.0	56.0	0.007686828666290955
Biliary-AdenoCA	SP99297	SBS5	1185.0	807.0	1161.0	-0.008878560973931863
Biliary-AdenoCA	SP99297	SBS13	11.0	11.0	11.0	0.0
Biliary-AdenoCA	SP99297	SBS18	331.0	320.0	334.0	0.003906723332808898
Biliary-AdenoCA	SP99301	SBS1	1767.0	1785.0	1832.0	0.015680204285162425
Biliary-AdenoCA	SP99301	SBS5	4021.0	2540.0	3655.0	-0.04143587919892932
Biliary-AdenoCA	SP99301	SBS15	3976.0	3579.0	3813.0	-0.018174902275993526
Biliary-AdenoCA	SP99305	SBS1	286.0	294.0	302.0	0.023560731768312682
Biliary-AdenoCA	SP99305	SBS5	1918.0	1100.0	1583.0	-0.0833197974819968
Biliary-AdenoCA	SP99305	SBS40	1616.0	1545.0	1847.0	0.05799194697768673
Biliary-AdenoCA	SP99309	SBS1	272.0	273.0	280.0	0.012543672864323811
Biliary-AdenoCA	SP99309	SBS2	209.0	214.0	214.0	0.010219165181686028
Biliary-AdenoCA	SP99309	SBS5	2234.0	1411.0	2031.0	-0.041353823856073633
Biliary-AdenoCA	SP99309	SBS40	3104.0	2677.0	3200.0	0.013224069631533374
Biliary-AdenoCA	SP99313	SBS1	139.0	169.0	173.0	0.0944212126043617
Biliary-AdenoCA	SP99313	SBS5	3581.0	1819.0	2618.0	-0.13599008308778054
Biliary-AdenoCA	SP99313	SBS9	1462.0	1083.0	1468.0	0.0017774696649456546
Biliary-AdenoCA	SP99313	SBS17a	138.0	193.0	889.0	0.8063752063908177
Biliary-AdenoCA	SP99313	SBS17b	629.0	587.0	611.0	-0.012589127308020516
Biliary-AdenoCA	SP99313	SBS40	2197.0	2186.0	2613.0	0.07527789515705376
Biliary-AdenoCA	SP99317	SBS1	81.0	82.0	84.0	0.015605073330576057
Biliary-AdenoCA	SP99317	SBS5	727.0	444.0	639.0	-0.05595140532915002
Biliary-AdenoCA	SP99317	SBS40	673.0	615.0	735.0	0.038217917802179015
Biliary-AdenoCA	SP99321	SBS1	896.0	852.0	874.0	-0.010784390021778816
Biliary-AdenoCA	SP99321	SBS5	1032.0	931.0	1340.0	0.11332845633197836
Biliary-AdenoCA	SP99321	SBS40	1656.0	1219.0	1457.0	-0.05556498443738094
Biliary-AdenoCA	SP99325	SBS1	21059.0	20923.0	21470.0	0.008393905084136961
Biliary-AdenoCA	SP99325	SBS5	75982.0	46782.0	67327.0	-0.05252072279436199
Biliary-AdenoCA	SP99325	SBS21	47957.0	19677.0	134040.0	0.44637659583404843
Biliary-AdenoCA	SP99325	SBS44	61533.0	36866.0	49318.0	-0.0961008850057407
Biliary-AdenoCA	SP99329	SBS1	454.0	450.0	462.0	0.007569594360840704
Biliary-AdenoCA	SP99329	SBS2	231.0	232.0	232.0	0.0018679361351193388
Biliary-AdenoCA	SP99329	SBS3	5437.0	4379.0	5372.0	-0.005222362682787368
Biliary-AdenoCA	SP99329	SBS5	434.0	197.0	284.0	-0.18364439694612714
Biliary-AdenoCA	SP99329	SBS13	383.0	382.0	384.0	0.0011295051409699044
Biliary-AdenoCA	SP99329	SBS40	2979.0	2595.0	3102.0	0.017565511507910532
Biliary-AdenoCA	SP99333	SBS1	318.0	272.0	279.0	-0.056632651714961894
Biliary-AdenoCA	SP99333	SBS5	1417.0	1461.0	2103.0	0.1713695046346537
Biliary-AdenoCA	SP99333	SBS18	325.0	379.0	396.0	0.08557290669517609
Biliary-AdenoCA	SP99333	SBS40	622.0	37.0	44.0	-1.141275532883826
Biliary-AdenoCA	SP99337	SBS1	168.0	162.0	166.0	-0.0051702334660902365
Biliary-AdenoCA	SP99337	SBS5	3048.0	2181.0	3139.0	0.012772223707834271
Biliary-AdenoCA	SP99337	SBS18	699.0	648.0	677.0	-0.013868346147193495
Biliary-AdenoCA	SP99341	SBS1	336.0	306.0	314.0	-0.029319347081738133
Biliary-AdenoCA	SP99341	SBS5	1489.0	1337.0	1924.0	0.11124446543224543
Biliary-AdenoCA	SP99341	SBS40	1956.0	1406.0	1680.0	-0.06602311221853015
Biliary-AdenoCA	SP99345	SBS1	87.0	88.0	90.0	0.014558720170925007
Biliary-AdenoCA	SP99345	SBS5	1038.0	654.0	941.0	-0.04256464476430004
Biliary-AdenoCA	SP99345	SBS12	589.0	438.0	2882.0	0.6889926307460635
Biliary-AdenoCA	SP99345	SBS22	646.0	547.0	578.0	-0.04822571694126418
Biliary-AdenoCA	SP99345	SBS40	1474.0	1019.0	1218.0	-0.08278831469579989
Biliary-AdenoCA	SP99113	SBS1	115.0	128.0	131.0	0.05611594197893141
Biliary-AdenoCA	SP99113	SBS5	1863.0	964.0	1387.0	-0.1280564418991265
Biliary-AdenoCA	SP99113	SBS40	526.0	671.0	802.0	0.1829049300661343
Biliary-AdenoCA	SP99185	SBS1	97.0	105.0	108.0	0.046200422248128786
Biliary-AdenoCA	SP99185	SBS5	3287.0	1988.0	2861.0	-0.06026217944425523
Biliary-AdenoCA	SP99185	SBS12	1200.0	1860.0	12237.0	1.008167441457724
Biliary-AdenoCA	SP99185	SBS18	949.0	953.0	995.0	0.020535733134850954
Biliary-AdenoCA	SP99185	SBS40	3434.0	1546.0	1848.0	-0.2689898302363962
Biliary-AdenoCA	SP99209	SBS1	303.0	322.0	330.0	0.03695441016696503
Biliary-AdenoCA	SP99209	SBS5	3569.0	1942.0	2795.0	-0.1061310490385494
Biliary-AdenoCA	SP99209	SBS12	1839.0	2464.0	16211.0	0.945018772060119
Biliary-AdenoCA	SP99209	SBS40	4399.0	2165.0	2588.0	-0.23032062605131542
Biliary-AdenoCA	SP99213	SBS1	738.0	665.0	682.0	-0.03422373471329316
Biliary-AdenoCA	SP99213	SBS2	347.0	338.0	338.0	-0.011379545743498753
Biliary-AdenoCA	SP99213	SBS5	1728.0	1872.0	2694.0	0.19276377624883492
Biliary-AdenoCA	SP99213	SBS13	248.0	264.0	265.0	0.02868228953533063
Biliary-AdenoCA	SP99213	SBS17a	115.0	113.0	521.0	0.6532125137753437
Biliary-AdenoCA	SP99213	SBS17b	265.0	252.0	262.0	-0.004925888141309106
Biliary-AdenoCA	SP99213	SBS40	2017.0	1095.0	1309.0	-0.18764986624512747
Biliary-AdenoCA	SP99221	SBS1	94.0	93.0	95.0	0.004547627750720661
Biliary-AdenoCA	SP99221	SBS5	1090.0	737.0	1061.0	-0.011700233842891612
Biliary-AdenoCA	SP99221	SBS40	444.0	383.0	458.0	0.013452674556329645
Biliary-AdenoCA	SP99225	SBS1	237.0	231.0	237.0	0.0
Biliary-AdenoCA	SP99225	SBS5	2847.0	1965.0	2828.0	-0.00290703750782793
Biliary-AdenoCA	SP99225	SBS18	364.0	350.0	365.0	0.0011882209379360039
Biliary-AdenoCA	SP99241	SBS1	265.0	312.0	320.0	0.08162339577380512
Biliary-AdenoCA	SP99241	SBS5	5728.0	2905.0	4181.0	-0.1366947937679595
Biliary-AdenoCA	SP99241	SBS12	4496.0	4287.0	28204.0	0.7974032164934706
Biliary-AdenoCA	SP99241	SBS40	7527.0	3931.0	4698.0	-0.2046741653962486
Bladder-TCC	SP1086	SBS1	556.0	520.0	534.0	-0.01750141315250045
Bladder-TCC	SP1086	SBS2	1677.0	1633.0	1635.0	-0.011008657157377267
Bladder-TCC	SP1086	SBS5	10364.0	7649.0	11008.0	0.026178565293386545
Bladder-TCC	SP1086	SBS13	2755.0	2695.0	2709.0	-0.007309922361182497
Bladder-TCC	SP1003	SBS1	452.0	406.0	417.0	-0.03492192023779665
Bladder-TCC	SP1003	SBS2	6898.0	6803.0	6811.0	-0.0055115056560311815
Bladder-TCC	SP1003	SBS5	9307.0	7193.0	10352.0	0.04620983939645695
Bladder-TCC	SP1003	SBS13	8553.0	8407.0	8450.0	-0.005261144215356447
Bladder-TCC	SP1677	SBS1	563.0	545.0	559.0	-0.0030910769771418803
Bladder-TCC	SP1677	SBS2	10747.0	10707.0	10719.0	-0.0011328724043796513
Bladder-TCC	SP1677	SBS5	9785.0	7003.0	10078.0	0.012812233778274217
Bladder-TCC	SP1677	SBS13	10017.0	9932.0	9983.0	-0.0014764550151467363
Bladder-TCC	SP1305	SBS2	1204.0	1334.0	1335.0	0.0448194112286397
Bladder-TCC	SP1305	SBS5	30572.0	19580.0	28179.0	-0.03539706753601523
Bladder-TCC	SP1305	SBS8	3586.0	3863.0	4187.0	0.06727529633083813
Bladder-TCC	SP1305	SBS13	1063.0	1143.0	1149.0	0.0337562123945823
Bladder-TCC	SP963	SBS1	647.0	603.0	619.0	-0.019183316372339446
Bladder-TCC	SP963	SBS2	11991.0	11896.0	11909.0	-0.002979858357445529
Bladder-TCC	SP963	SBS5	7081.0	5477.0	7882.0	0.04653560414079178
Bladder-TCC	SP963	SBS13	14396.0	14223.0	14295.0	-0.0030574651544959855
Bladder-TCC	SP1144	SBS1	2740.0	2621.0	2689.0	-0.008156755537090417
Bladder-TCC	SP1144	SBS2	5200.0	5111.0	5117.0	-0.0069865722236654385
Bladder-TCC	SP1144	SBS5	6660.0	5356.0	7708.0	0.06345861201424043
Bladder-TCC	SP1144	SBS13	5620.0	5498.0	5526.0	-0.007324120711162641
Bladder-TCC	SP1132	SBS1	323.0	277.0	284.0	-0.05570015019810193
Bladder-TCC	SP1132	SBS2	738.0	644.0	645.0	-0.05841192039974165
Bladder-TCC	SP1132	SBS5	13255.0	10362.0	14913.0	0.051181643343352456
Bladder-TCC	SP1132	SBS13	941.0	875.0	879.0	-0.029568230642708734
Bladder-TCC	SP1132	SBS29	3677.0	3297.0	3404.0	-0.03349460865325468
Bladder-TCC	SP1712	SBS1	565.0	526.0	540.0	-0.019619166081701986
Bladder-TCC	SP1712	SBS2	2877.0	2832.0	2835.0	-0.006384563089557456
Bladder-TCC	SP1712	SBS5	2589.0	2137.0	3075.0	0.07468656704814157
Bladder-TCC	SP1712	SBS13	3879.0	3807.0	3826.0	-0.00597326336970791
Bladder-TCC	SP1114	SBS1	276.0	279.0	286.0	0.0154021276695438
Bladder-TCC	SP1114	SBS2	751.0	758.0	759.0	0.004595751689149137
Bladder-TCC	SP1114	SBS5	10577.0	7256.0	10443.0	-0.005536699532058812
Bladder-TCC	SP1114	SBS13	925.0	927.0	932.0	0.0032706570645656074
Bladder-TCC	SP1431	SBS1	663.0	618.0	634.0	-0.019394354076041814
Bladder-TCC	SP1431	SBS2	2623.0	2579.0	2582.0	-0.006839424530305466
Bladder-TCC	SP1431	SBS5	2944.0	2407.0	3464.0	0.07061793982470506
Bladder-TCC	SP1431	SBS13	2739.0	2676.0	2690.0	-0.00783686505663344
Bladder-TCC	SP975	SBS1	1356.0	1325.0	1360.0	0.0012782775435976226
Bladder-TCC	SP975	SBS2	899.0	902.0	903.0	0.0019259210360384462
Bladder-TCC	SP975	SBS5	9243.0	6327.0	9106.0	-0.0064846002312286205
Bladder-TCC	SP975	SBS13	532.0	532.0	535.0	0.002437580666197729
Bladder-TCC	SP975	SBS40	7659.0	6455.0	7715.0	0.003163449339242923
Bladder-TCC	SP1059	SBS2	9460.0	9500.0	9511.0	0.002334799127524585
Bladder-TCC	SP1059	SBS5	22498.0	15116.0	21754.0	-0.014604128076707726
Bladder-TCC	SP1059	SBS8	12576.0	11844.0	12837.0	0.008920310431550692
Bladder-TCC	SP1059	SBS13	14645.0	14612.0	14686.0	0.0012140650703215928
Bladder-TCC	SP1419	SBS1	1485.0	1340.0	1375.0	-0.033400375525063995
Bladder-TCC	SP1419	SBS2	1286.0	1252.0	1253.0	-0.011281010409689058
Bladder-TCC	SP1419	SBS5	2791.0	3218.0	4631.0	0.2198531367682563
Bladder-TCC	SP1419	SBS13	1643.0	1648.0	1656.0	0.003420695215305106
Bladder-TCC	SP1419	SBS40	5373.0	3519.0	4206.0	-0.10632515008015328
Bladder-TCC	SP1009	SBS1	592.0	530.0	544.0	-0.036658191087620175
Bladder-TCC	SP1009	SBS2	2550.0	2517.0	2520.0	-0.005137612933344106
Bladder-TCC	SP1009	SBS5	2207.0	2234.0	3215.0	0.16331697101925235
Bladder-TCC	SP1009	SBS13	3004.0	2984.0	2999.0	-0.0007232216190958877
Bladder-TCC	SP1009	SBS40	5101.0	3807.0	4550.0	-0.049633618767378304
Bladder-TCC	SP1724	SBS1	434.0	398.0	408.0	-0.026765948947295514
Bladder-TCC	SP1724	SBS2	4305.0	4246.0	4251.0	-0.005480769636209257
Bladder-TCC	SP1724	SBS5	3981.0	3190.0	4591.0	0.06190062369852634
Bladder-TCC	SP1724	SBS13	5309.0	5215.0	5242.0	-0.005514663367745762
Bladder-TCC	SP96136	SBS1	500.0	470.0	482.0	-0.015890595115733548
Bladder-TCC	SP96136	SBS2	17315.0	17244.0	17263.0	-0.001306149802283596
Bladder-TCC	SP96136	SBS5	21677.0	15492.0	22295.0	0.012207743753581893
Bladder-TCC	SP96136	SBS13	12400.0	12285.0	12348.0	-0.0018249168717956404
Bladder-TCC	SP967	SBS1	963.0	946.0	971.0	0.00358923102344379
Bladder-TCC	SP967	SBS2	132.0	133.0	133.0	0.0032531573977218607
Bladder-TCC	SP967	SBS5	1068.0	646.0	930.0	-0.060028024227435396
Bladder-TCC	SP967	SBS40	1289.0	1150.0	1374.0	0.027712987867032447
Bladder-TCC	SP1781	SBS1	967.0	874.0	897.0	-0.03259902064108931
Bladder-TCC	SP1781	SBS2	12947.0	12783.0	12797.0	-0.005060584897463109
Bladder-TCC	SP1781	SBS5	5725.0	5019.0	7223.0	0.10092639361986956
Bladder-TCC	SP1781	SBS13	18363.0	18056.0	18148.0	-0.0051145834516798366
Bladder-TCC	SP1174	SBS1	1231.0	1095.0	1124.0	-0.039458185381025364
Bladder-TCC	SP1174	SBS2	1823.0	1782.0	1784.0	-0.009386613544185397
Bladder-TCC	SP1174	SBS5	2042.0	2702.0	3889.0	0.2796812346932601
Bladder-TCC	SP1174	SBS13	2259.0	2259.0	2270.0	0.0021086950723342747
Bladder-TCC	SP1174	SBS40	5980.0	4033.0	4820.0	-0.09363667092910004
Bladder-TCC	SP953	SBS1	653.0	599.0	615.0	-0.02599703615984182
Bladder-TCC	SP953	SBS2	7500.0	7394.0	7402.0	-0.005711416080366289
Bladder-TCC	SP953	SBS5	16020.0	12014.0	17290.0	0.03313049037370462
Bladder-TCC	SP953	SBS13	10666.0	10500.0	10553.0	-0.004625205249644709
Bladder-TCC	SP1377	SBS1	714.0	675.0	693.0	-0.012946571346225713
Bladder-TCC	SP1377	SBS2	1640.0	1610.0	1612.0	-0.0074742136641317075
Bladder-TCC	SP1377	SBS5	3895.0	2990.0	4303.0	0.043253314451754864
Bladder-TCC	SP1377	SBS13	3881.0	3822.0	3841.0	-0.004498170526669172
Bladder-TCC	SP1365	SBS1	1076.0	981.0	1007.0	-0.028755171188475113
Bladder-TCC	SP1365	SBS2	759.0	735.0	736.0	-0.013346104421739894
Bladder-TCC	SP1365	SBS5	1760.0	2066.0	2973.0	0.2275816082186585
Bladder-TCC	SP1365	SBS13	1062.0	1061.0	1066.0	0.0016311549011731564
Bladder-TCC	SP1365	SBS40	4967.0	3554.0	4248.0	-0.06789485607900936
Bladder-TCC	SP1491	SBS1	402.0	384.0	394.0	-0.0087079505146492
Bladder-TCC	SP1491	SBS2	1497.0	1482.0	1484.0	-0.003785359710216506
Bladder-TCC	SP1491	SBS5	8913.0	6347.0	9134.0	0.010635921938399037
Bladder-TCC	SP1491	SBS13	1193.0	1173.0	1179.0	-0.005122319487224887
Bone-Benign	SP116536	SBS1	203.0	188.0	193.0	-0.02182843749567273
Bone-Benign	SP116536	SBS5	952.0	778.0	1120.0	0.07051271195664675
Bone-Benign	SP116536	SBS8	472.0	392.0	425.0	-0.04545154163509266
Bone-Benign	SP116539	SBS1	52.0	46.0	47.0	-0.04303463222520182
Bone-Benign	SP116539	SBS5	391.0	337.0	485.0	0.09335020224183617
Bone-Benign	SP116539	SBS8	227.0	189.0	205.0	-0.04406762663130037
Bone-Benign	SP116542	SBS1	93.0	87.0	89.0	-0.01888534416037376
Bone-Benign	SP116542	SBS5	479.0	389.0	560.0	0.06772162388057418
Bone-Benign	SP116542	SBS8	200.0	165.0	179.0	-0.04792355231718279
Bone-Benign	SP116545	SBS1	71.0	65.0	67.0	-0.024823583725032152
Bone-Benign	SP116545	SBS5	368.0	312.0	449.0	0.0861861476162833
Bone-Benign	SP116545	SBS8	190.0	155.0	168.0	-0.053146662634054
Bone-Benign	SP116548	SBS1	98.0	88.0	90.0	-0.0365938022764563
Bone-Benign	SP116548	SBS5	744.0	626.0	901.0	0.08305026479364888
Bone-Benign	SP116550	SBS1	39.0	36.0	37.0	-0.022276394711152253
Bone-Benign	SP116550	SBS5	322.0	253.0	364.0	0.053090342125371795
Bone-Benign	SP116553	SBS1	68.0	56.0	57.0	-0.07542109717431805
Bone-Benign	SP116553	SBS5	177.0	267.0	384.0	0.3350407271996067
Bone-Benign	SP116553	SBS40	387.0	221.0	264.0	-0.1655858516573994
Bone-Benign	SP116557	SBS1	41.0	36.0	37.0	-0.0434656937810903
Bone-Benign	SP116557	SBS5	134.0	162.0	233.0	0.23888208891513674
Bone-Benign	SP116557	SBS40	197.0	113.0	135.0	-0.16312628189131362
Bone-Benign	SP116559	SBS1	71.0	62.0	64.0	-0.04441913978841288
Bone-Benign	SP116559	SBS5	437.0	399.0	574.0	0.11819373418553097
Bone-Benign	SP116559	SBS8	372.0	311.0	337.0	-0.04279213153103285
Bone-Benign	SP116562	SBS1	77.0	69.0	71.0	-0.03476210625921192
Bone-Benign	SP116562	SBS5	985.0	779.0	1121.0	0.05611594197893141
Bone-Benign	SP116564	SBS1	69.0	59.0	61.0	-0.052706350516002975
Bone-Benign	SP116564	SBS5	446.0	407.0	586.0	0.11833057811567803
Bone-Benign	SP116564	SBS8	222.0	172.0	186.0	-0.07646325651166172
Bone-Benign	SP116571	SBS1	99.0	92.0	94.0	-0.022276394711152253
Bone-Benign	SP116571	SBS2	51.0	50.0	50.0	-0.008433167536862813
Bone-Benign	SP116571	SBS5	133.0	140.0	201.0	0.1782465710818161
Bone-Benign	SP116571	SBS13	55.0	55.0	55.0	0.0
Bone-Benign	SP116571	SBS40	672.0	521.0	623.0	-0.03283047454155284
Bone-Benign	SP116393	SBS1	19.0	16.0	16.0	-0.07058107428570728
Bone-Benign	SP116393	SBS5	31.0	49.0	71.0	0.3521825181113625
Bone-Benign	SP116393	SBS40	51.0	23.0	27.0	-0.26884531229257996
Bone-Benign	SP116393	SBS60	16.0	15.0	15.0	-0.026328938722349152
Bone-Benign	SP116442	SBS1	47.0	42.0	43.0	-0.0377885608893998
Bone-Benign	SP116442	SBS5	178.0	169.0	243.0	0.13453679535883623
Bone-Benign	SP116442	SBS8	156.0	125.0	135.0	-0.06236074403901621
Bone-Benign	SP116446	SBS1	23.0	21.0	22.0	-0.018483405694013126
Bone-Benign	SP116446	SBS2	8.0	8.0	8.0	0.0
Bone-Benign	SP116446	SBS5	50.0	45.0	65.0	0.11197375944393233
Bone-Benign	SP116446	SBS40	45.0	32.0	38.0	-0.07169322465507487
Bone-Benign	SP116446	SBS51	55.0	42.0	50.0	-0.04061785090826406
Bone-Epith	SP116419	SBS1	220.0	205.0	210.0	-0.02010981838741801
Bone-Epith	SP116419	SBS5	965.0	813.0	1170.0	0.08357976865686982
Bone-Epith	SP116419	SBS40	1625.0	1257.0	1502.0	-0.0341615606711412
Bone-Epith	SP116383	SBS1	393.0	395.0	405.0	0.013029811751620029
Bone-Epith	SP116383	SBS2	813.0	824.0	825.0	0.006355642431180988
Bone-Epith	SP116383	SBS5	2034.0	1183.0	1703.0	-0.07709482313055754
Bone-Epith	SP116383	SBS13	464.0	467.0	469.0	0.004644905045763538
Bone-Epith	SP116383	SBS40	1852.0	1661.0	1985.0	0.030103824840464838
Bone-Epith	SP116385	SBS1	220.0	195.0	200.0	-0.04119621626462183
Bone-Epith	SP116385	SBS5	1350.0	1235.0	1777.0	0.1192764076121643
Bone-Epith	SP116385	SBS40	991.0	593.0	709.0	-0.1452533234351034
Bone-Epith	SP116440	SBS1	244.0	234.0	240.0	-0.00714904178966407
Bone-Epith	SP116440	SBS5	951.0	693.0	997.0	0.020493592902896787
Bone-Epith	SP116440	SBS40	582.0	452.0	540.0	-0.03247128965244467
Bone-Epith	SP116450	SBS1	256.0	257.0	264.0	0.013312750605513266
Bone-Epith	SP116450	SBS2	291.0	297.0	297.0	0.008833412627836977
Bone-Epith	SP116450	SBS5	1523.0	935.0	1346.0	-0.053617371280596085
Bone-Epith	SP116450	SBS13	301.0	302.0	304.0	0.004292896389635181
Bone-Epith	SP116450	SBS40	1368.0	1206.0	1441.0	0.022561812249420204
Bone-Epith	SP116493	SBS1	164.0	157.0	161.0	-0.00796892967127534
Bone-Epith	SP116493	SBS5	952.0	694.0	999.0	0.020907099361673627
Bone-Epith	SP116493	SBS40	626.0	495.0	592.0	-0.024212847466453826
Bone-Epith	SP116391	SBS1	258.0	241.0	247.0	-0.018848083255035574
Bone-Epith	SP116391	SBS5	149.0	201.0	289.0	0.28630673884327484
Bone-Epith	SP116391	SBS40	1141.0	882.0	1054.0	-0.034413644276117795
Bone-Epith	SP116401	SBS1	306.0	296.0	304.0	-0.0028385361304006473
